"Issue Type","Summary","Description","Epic Name","Epic Link","Labels","Priority"
"Task","Implement Stripe payment provider adapter","Move current Stripe checkout and portal logic behind the provider abstraction and support subscription, seat, and top-up operations.","","Billing Provider Abstraction","stripe,payments,backend","High"
"Task","Create PayPal-ready stub implementation","Add a PayPal provider stub or adapter skeleton so the payment abstraction remains provider-agnostic without shipping PayPal fully in v1.","","Billing Provider Abstraction","paypal,payments,backend","Low"
"Story","Replace direct BillingController Stripe usage","Refactor BillingController to depend on billing services and payment provider interfaces rather than direct Stripe SDK logic.","","Billing Provider Abstraction","billing,api,refactor","High"
"Story","Implement tenant billing account persistence","Create TenantBillingAccount storage for provider customer ids, payment method references, billing status, and auto top-up configuration.","","Billing Provider Abstraction","billing,azure-tables,backend","High"
"Story","Design subscription and pricing rule snapshots","Model tenant subscriptions, billing cadence, pricing snapshots, promo windows, introductory offers, and cadence discounts for audit-safe renewals.","","Subscription and Seat Management","subscriptions,pricing,domain-model","High"
"Task","Add TenantSubscription and PricingRuleSnapshot entities","Implement Azure Table entities and mappings for tenant subscriptions and pricing rule snapshots.","","Subscription and Seat Management","subscriptions,pricing,azure-tables","High"
"Task","Add SeatEntitlement entity and mapping","Implement storage for purchased seats, assigned seats, reserved seats, available seats, and next-renewal seat count.","","Subscription and Seat Management","subscriptions,seats,azure-tables","High"
"Story","Implement self-service subscription checkout flow","Create the backend flow that starts checkout, records pending tenant subscription context, and finalizes tenant creation from webhook confirmation.","","Subscription and Seat Management","subscriptions,checkout,workflow","High"
"Story","Implement enterprise tenant onboarding flow","Support tenant creation by owner or internal onboarding staff with initial seat purchase and later invite-driven member activation.","","Subscription and Seat Management","subscriptions,enterprise,onboarding","Medium"
"Story","Implement seat increase and proration flow","Allow BillingAdmin users to add seats mid-term, update provider subscription quantity, and reflect immediate entitlement changes.","","Subscription and Seat Management","subscriptions,seats,proration","High"
"Story","Implement seat reduction at renewal flow","Allow BillingAdmin users to reduce next-renewal seat count while preserving paid seat availability through the current billing term.","","Subscription and Seat Management","subscriptions,seats,renewal","High"
"Story","Implement subscription cancel and reactivate flow","Allow cancel-at-term-end and reactivation flows while preserving access rules for single-user and enterprise tenants.","","Subscription and Seat Management","subscriptions,cancellation,reactivation","Medium"
"Story","Define credit accounting rules and ledger schema","Finalize the schema and service contracts for included monthly credits, purchased carryover credits, expirations, and per-usage debit records.","","Credits and Usage Ledger","credits,ledger,architecture","High"
"Task","Add TenantCreditBalance and UserCreditPeriod entities","Implement the balance tables needed to track tenant purchased credits and per-user monthly included credit periods.","","Credits and Usage Ledger","credits,azure-tables,backend","High"
"Task","Add CreditLedger entity and repository","Implement an append-only credit ledger that records included grants, purchased grants, consumption events, expirations, refunds, and adjustments.","","Credits and Usage Ledger","credits,ledger,backend","High"
"Story","Implement monthly included credit grant job","Create a scheduled worker that grants included credits to all active tenant memberships each monthly usage cycle.","","Credits and Usage Ledger","credits,background-jobs,servicebus","High"
"Story","Implement usage consumption ordering","Debit user included monthly credits first, then tenant purchased credits, and record the exact source bucket used for each charge.","","Credits and Usage Ledger","credits,usage,backend","High"
"Story","Implement purchased credit expiration at contract renewal","Expire remaining purchased credits at the end of the contract term and optionally support future reprovisioning rules.","","Credits and Usage Ledger","credits,renewal,backend","Medium"
"Story","Implement auto top-up workflow","Support opt-in auto top-up with threshold-based replenishment, pack sizing, cycle guardrails, and provider-hosted payment methods.","","Credits and Usage Ledger","credits,topup,automation","High"
"Story","Implement soft-cap alerts for purchased credit consumption","Warn tenant owners and billing admins when users exceed soft-cap thresholds on purchased credit usage without hard-blocking consumption.","","Credits and Usage Ledger","credits,alerts,notifications","Medium"
"Story","Design normalized billing event model","Define internal normalized billing events that abstract provider-specific webhook payloads into MedInsights billing actions.","","Webhooks and Background Processing","billing,events,architecture","High"
"Task","Add WebhookEvent entity and dedupe store","Persist raw webhook receipts with provider event ids, processing state, correlation ids, and payload hashes for idempotent handling.","","Webhooks and Background Processing","webhooks,azure-tables,backend","High"
"Story","Implement Stripe webhook endpoint and validation","Create the Stripe webhook endpoint, validate signatures, store raw events, and enqueue normalized billing events.","","Webhooks and Background Processing","stripe,webhooks,backend","High"
"Story","Implement billing event processing worker","Create a Service Bus worker that processes normalized billing events and updates subscriptions, seats, credits, and billing ledgers idempotently.","","Webhooks and Background Processing","billing,servicebus,backend","High"
"Story","Implement credit usage processing worker","Create a background worker that consumes credit-usage events and writes tenant and user credit balances plus ledger entries safely.","","Webhooks and Background Processing","credits,servicebus,backend","High"
"Story","Implement renewal and monthly grant schedulers","Create scheduled jobs or timer-triggered workflows for contract renewal processing and monthly included credit grants.","","Webhooks and Background Processing","billing,scheduling,backend","Medium"
"Story","Add billing summary APIs","Provide APIs for tenant billing summary, subscription details, seat counts, renewal state, payment status, and top-up settings.","","Admin APIs and Billing Operations","billing,api,admin","High"
"Story","Add tenant membership administration APIs","Provide APIs to list users, invite users, resend invites, cancel invites, remove memberships, and assign roles within a tenant.","","Admin APIs and Billing Operations","membership,api,admin","High"
"Story","Add billing ledger and credit ledger APIs","Provide tenant-facing APIs to retrieve billing events, receipts metadata, credit grants, credit consumption history, and balances.","","Admin APIs and Billing Operations","billing,credits,api","Medium"
"Story","Add auto top-up administration APIs","Allow BillingAdmin users to enable or disable auto top-up, configure thresholds and pack size, and review top-up history.","","Admin APIs and Billing Operations","credits,topup,api","Medium"
"Story","Extend TenantProfile for billing metadata","Add business billing fields, tax metadata, billing contacts, and enterprise account details to TenantProfile or a dedicated billing profile.","","Admin APIs and Billing Operations","tenant-profile,billing,backend","Medium"
"Story","Implement audit trail for billing and identity actions","Record immutable audit events for invites, role changes, seat changes, payment setting updates, top-up configuration, and subscription lifecycle actions.","","Compliance and Audit Readiness","audit,compliance,backend","High"
"Story","Define security controls for OTP and membership changes","Document and implement the security rules for invite redemption, verified contact changes, admin-controlled reassignment, and billing-admin boundaries.","","Compliance and Audit Readiness","security,otp,compliance","High"
"Story","Review PHI and PCI boundaries in billing design","Verify that payment data remains provider-hosted, billing events avoid PHI, and audit trails meet HIPAA and SOC 2 expectations.","","Compliance and Audit Readiness","hipaa,pci,compliance","High"
"Task","Add operational dashboards and alerting requirements","Define the operational alerts needed for failed webhooks, failed top-ups, payment failures, renewal failures, and queue processing issues.","","Compliance and Audit Readiness","operations,monitoring,alerts","Medium"
"Task","Write implementation runbook and support playbooks","Document support procedures for unverified paid accounts, seat reassignment, payment failures, top-up failures, renewals, and refunds.","","Compliance and Audit Readiness","documentation,support,operations","Medium"
